iter	Passed	Remaining
479	626	679
480	628	677
481	629	676
482	630	674
483	631	673
484	632	671
485	633	670
486	634	668
487	635	666
488	638	666
489	639	665
490	640	663
491	641	662
492	642	660
493	643	659
494	644	657
495	646	656
496	646	654
497	648	653
498	649	651
499	650	650
500	651	648
501	652	647
502	653	645
503	654	644
504	655	642
505	656	641
506	657	639
507	658	638
508	659	636
509	660	635
510	662	633
511	663	632
512	664	630
513	665	629
514	667	628
515	668	627
516	669	625
517	670	624
518	671	622
519	672	621
520	673	619
521	675	618
522	677	617
523	678	615
524	679	614
525	681	613
526	682	612
527	683	610
528	684	609
529	685	607
530	686	606
531	687	604
532	688	603
533	689	601
534	690	600
535	691	598
536	692	597
537	693	595
538	694	594
539	697	594
540	698	592
541	699	590
542	700	589
543	701	587
544	702	586
545	702	584
546	703	582
547	704	581
548	705	579
549	706	577
550	707	576
551	708	574
552	708	572
553	709	571
554	710	569
555	712	568
556	712	567
557	713	565
558	714	563
559	715	562
560	716	560
561	717	558
562	718	557
563	718	555
564	719	554
565	720	552
566	721	550
567	722	549
568	722	547
569	723	546
570	724	544
571	726	543
572	727	542
573	728	540
574	729	539
575	730	537
576	731	536
577	732	534
578	732	532
579	733	531
580	734	529
581	735	528
582	736	526
583	737	525
584	737	523
585	738	521
586	739	520
587	740	518
588	742	517
589	743	516
590	744	514
591	744	513
592	745	511
593	746	510
594	747	508
595	748	507
596	749	505
597	749	504
598	750	502
599	751	501
600	752	499
601	753	498
602	754	496
603	754	494
604	756	494
605	757	492
606	758	491
607	759	489
608	760	488
609	761	486
610	762	485
611	762	483
612	763	482
613	764	480
614	765	479
615	766	477
616	767	476
617	768	474
618	768	473
619	769	471
620	770	470
621	772	469
622	773	468
623	774	466
624	775	465
625	776	463
626	777	462
627	778	460
628	779	459
629	780	458
630	781	456
631	782	455
632	783	453
633	784	452
634	784	451
635	786	450
636	787	449
637	788	447
638	789	446
639	790	444
640	791	443
641	792	441
642	793	440
643	794	439
644	795	437
645	796	436
646	797	434
647	798	433
648	799	432
649	799	430
650	802	430
651	803	428
652	804	427
653	805	426
654	806	424
655	807	423
656	808	422
657	809	420
658	810	419
659	810	417
660	811	416
661	812	414
662	813	413
663	814	412
664	815	410
665	816	409
666	818	408
667	818	407
668	819	405
669	820	404
670	821	402
671	822	401
672	823	399
673	824	398
674	824	397
675	825	395
676	826	394
677	827	393
678	828	391
679	829	390
680	830	388
681	831	387
682	833	386
683	834	385
684	834	383
685	835	382
686	836	381
687	837	379
688	838	378
689	839	377
690	840	375
691	840	374
692	841	372
693	842	371
694	843	370
695	844	368
696	844	367
697	845	365
698	846	364
699	848	363
700	849	362
701	850	360
702	851	359
703	852	358
704	853	356
705	854	355
706	854	354
707	855	352
708	856	351
709	857	350
710	858	348
711	859	347
712	860	346
713	860	344
714	862	343
715	863	342
716	864	341
717	865	339
718	866	338
719	867	337
720	868	335
721	868	334
722	869	333
723	870	331
724	871	330
725	872	329
726	873	328
727	874	326
728	875	325
729	876	324
730	876	322
731	878	321
732	879	320
733	880	319
734	881	317
735	882	316
736	883	315
737	884	313
738	884	312
739	885	311
740	886	309
741	887	308
742	888	307
743	889	305
744	890	304
745	890	303
746	891	302
747	893	301
748	894	299
749	895	298
750	896	297
751	897	295
752	898	294
753	898	293
754	899	291
755	900	290
756	901	289
757	902	288
758	903	286
759	904	285
760	905	284
761	906	282
762	906	281
763	909	280
764	910	279
765	910	278
766	911	276
767	912	275
768	913	274
769	914	273
770	915	271
771	916	270
772	917	269
773	918	268
774	918	266
775	919	265
776	920	264
777	921	262
778	923	261
779	924	260
780	925	259
781	926	258
782	927	257
783	928	255
784	929	254
785	930	253
786	931	252
787	932	250
788	933	249
789	934	248
790	934	247
791	935	245
792	936	244
793	937	243
794	939	242
795	940	241
796	941	239
797	942	238
798	943	237
799	944	236
800	945	234
801	946	233
802	947	232
803	948	231
804	949	229
805	950	228
806	951	227
807	952	226
808	952	224
809	954	223
810	955	222
811	956	221
812	956	220
813	957	218
814	958	217
815	959	216
816	959	215
817	960	213
818	961	212
819	962	211
820	962	209
821	963	208
822	964	207
823	965	206
824	965	204
825	966	203
826	967	202
827	968	201
828	969	200
829	970	198
830	971	197
831	972	196
832	972	195
833	973	193
834	974	192
835	975	191
836	975	190
837	976	188
838	977	187
839	977	186
840	978	184
841	979	183
842	979	182
843	980	181
844	981	179
845	981	178
846	982	177
847	983	176
848	984	175
849	985	173
850	986	172
851	986	171
852	987	170
853	988	168
854	988	167
855	989	166
856	990	165
857	990	164
858	991	162
859	992	161
860	993	160
861	993	159
862	994	157
863	995	156
864	996	155
865	996	154
866	997	153
867	998	151
868	1000	150
869	1000	149
870	1001	148
871	1002	147
872	1002	145
873	1003	144
874	1004	143
875	1004	142
876	1005	141
877	1006	139
878	1006	138
879	1007	137
880	1008	136
881	1008	134
882	1009	133
883	1010	132
884	1011	131
885	1011	130
886	1012	128
887	1013	127
888	1015	126
889	1016	125
890	1016	124
891	1017	123
892	1018	121
893	1018	120
894	1019	119
895	1020	118
896	1020	117
897	1021	116
898	1022	114
899	1022	113
900	1023	112
901	1024	111
902	1025	110
903	1025	108
904	1026	107
905	1027	106
906	1027	105
907	1028	104
908	1030	103
909	1031	101
910	1031	100
911	1032	99
912	1033	98
913	1033	97
914	1034	96
915	1035	94
916	1035	93
917	1036	92
918	1037	91
919	1038	90
920	1039	89
921	1039	87
922	1040	86
923	1041	85
924	1042	84
925	1042	83
926	1045	82
927	1045	81
928	1046	79
929	1047	78
930	1047	77
931	1048	76
932	1049	75
933	1049	74
934	1050	73
935	1051	71
936	1052	70
937	1052	69
938	1053	68
939	1054	67
940	1055	66
941	1055	65
942	1056	63
943	1057	62
944	1058	61
945	1059	60
946	1060	59
947	1061	58
948	1062	57
949	1062	55
950	1063	54
951	1064	53
952	1065	52
953	1065	51
954	1066	50
955	1067	49
956	1067	47
957	1068	46
958	1069	45
959	1070	44
960	1071	43
961	1071	42
962	1072	41
963	1073	40
964	1073	38
965	1075	37
966	1076	36
967	1076	35
968	1077	34
969	1078	33
970	1079	32
971	1079	31
972	1080	29
973	1081	28
974	1081	27
975	1082	26
976	1083	25
977	1084	24
978	1085	23
979	1086	22
980	1086	21
981	1087	19
982	1088	18
983	1088	17
984	1091	16
985	1091	15
986	1092	14
987	1093	13
988	1094	12
989	1094	11
990	1095	9
991	1096	8
992	1096	7
993	1097	6
994	1098	5
995	1099	4
996	1100	3
997	1101	2
998	1101	1
999	1102	0
